Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,07/08/2015 04:00:00 PM,16.40
63rd Street Weather Station,07/08/2015 05:00:00 PM,16.60
63rd Street Weather Station,07/08/2015 06:00:00 PM,16.60
63rd Street Weather Station,07/08/2015 07:00:00 PM,16.70
63rd Street Weather Station,07/08/2015 08:00:00 PM,16.70
63rd Street Weather Station,07/08/2015 09:00:00 PM,17.00
63rd Street Weather Station,07/08/2015 10:00:00 PM,17.40
63rd Street Weather Station,07/08/2015 11:00:00 PM,18.00
63rd Street Weather Station,07/08/2015 12:00:00 AM,15.80
63rd Street Weather Station,07/09/2015 01:00:00 AM,17.40
63rd Street Weather Station,07/09/2015 02:00:00 AM,17.30
63rd Street Weather Station,07/09/2015 03:00:00 AM,17.20
63rd Street Weather Station,07/09/2015 04:00:00 AM,16.80
63rd Street Weather Station,07/09/2015 05:00:00 AM,16.40
63rd Street Weather Station,07/09/2015 06:00:00 AM,16.50
63rd Street Weather Station,07/09/2015 07:00:00 AM,15.60
63rd Street Weather Station,07/09/2015 08:00:00 AM,15.80
63rd Street Weather Station,07/09/2015 09:00:00 AM,16.40
63rd Street Weather Station,07/09/2015 10:00:00 AM,17.00
63rd Street Weather Station,07/09/2015 11:00:00 AM,17.60
63rd Street Weather Station,07/09/2015 12:00:00 PM,17.90
63rd Street Weather Station,07/09/2015 01:00:00 PM,18.20
63rd Street Weather Station,07/09/2015 02:00:00 PM,17.70
63rd Street Weather Station,07/09/2015 03:00:00 PM,17.30
63rd Street Weather Station,07/09/2015 04:00:00 PM,17.40
63rd Street Weather Station,07/09/2015 05:00:00 PM,17.70
63rd Street Weather Station,07/09/2015 06:00:00 PM,18.60
63rd Street Weather Station,07/09/2015 07:00:00 PM,18.40
63rd Street Weather Station,07/09/2015 08:00:00 PM,17.90
63rd Street Weather Station,07/09/2015 09:00:00 PM,18.20
63rd Street Weather Station,07/09/2015 10:00:00 PM,18.30
63rd Street Weather Station,07/09/2015 11:00:00 PM,18.20
63rd Street Weather Station,07/09/2015 12:00:00 AM,17.80
63rd Street Weather Station,07/10/2015 01:00:00 AM,18.00
63rd Street Weather Station,07/10/2015 02:00:00 AM,17.70
63rd Street Weather Station,07/10/2015 03:00:00 AM,17.70
