Station Name,Measurement Timestamp,Air Temperature,wind
63rd Street Weather Station,06/30/2015 01:00:00 PM,20.30,5.4
63rd Street Weather Station,06/30/2015 02:00:00 PM,18.90,5.8
63rd Street Weather Station,06/30/2015 03:00:00 PM,19.20,0.9
63rd Street Weather Station,06/30/2015 04:00:00 PM,19.40,6.3
63rd Street Weather Station,06/30/2015 05:00:00 PM,19.20,3.6
63rd Street Weather Station,06/30/2015 06:00:00 PM,16.20,2.2
63rd Street Weather Station,06/30/2015 07:00:00 PM,15.60,3.6
63rd Street Weather Station,06/30/2015 08:00:00 PM,15.80,2.2
63rd Street Weather Station,06/30/2015 09:00:00 PM,15.50,2.7
63rd Street Weather Station,06/30/2015 10:00:00 PM,15.80,4
63rd Street Weather Station,06/30/2015 11:00:00 PM,15.80,1.8
63rd Street Weather Station,06/30/2015 12:00:00 AM,19.60,7.2
63rd Street Weather Station,07/01/2015 01:00:00 AM,15.80,2.2
63rd Street Weather Station,07/01/2015 02:00:00 AM,15.60,6.3
63rd Street Weather Station,07/01/2015 03:00:00 AM,15.10,4.9
63rd Street Weather Station,07/01/2015 04:00:00 AM,14.90,3.1
63rd Street Weather Station,07/01/2015 05:00:00 AM,14.60,5.8
63rd Street Weather Station,07/01/2015 06:00:00 AM,14.40,4.9
63rd Street Weather Station,07/01/2015 07:00:00 AM,14.60,5.8
63rd Street Weather Station,07/01/2015 08:00:00 AM,14.50,4.9
63rd Street Weather Station,07/01/2015 09:00:00 AM,14.70,4.9
63rd Street Weather Station,07/01/2015 10:00:00 AM,15.10,1.3
63rd Street Weather Station,07/01/2015 11:00:00 AM,14.90,6.3
63rd Street Weather Station,07/01/2015 12:00:00 PM,15.00,1.3
63rd Street Weather Station,07/01/2015 01:00:00 PM,15.10,3.1
63rd Street Weather Station,07/01/2015 02:00:00 PM,14.80,3.1
63rd Street Weather Station,07/01/2015 03:00:00 PM,14.70,3.6
63rd Street Weather Station,07/01/2015 04:00:00 PM,14.70,5.8
63rd Street Weather Station,07/01/2015 05:00:00 PM,14.60,3.6
63rd Street Weather Station,07/01/2015 06:00:00 PM,14.70,4.5
63rd Street Weather Station,07/01/2015 07:00:00 PM,14.40,4.9
63rd Street Weather Station,07/01/2015 08:00:00 PM,14.30,4
63rd Street Weather Station,07/01/2015 12:00:00 AM,15.80,4.5
63rd Street Weather Station,07/02/2015 02:00:00 PM,16.10,3.1
63rd Street Weather Station,07/02/2015 03:00:00 PM,16.10,4
